tconst,originalTitle,year,genres,runtime,localised_title,averageRating,numVotes,overview,poster_path,production_countries,Actors,Directors,Writers,overview_fr
tt0052698,Classe tous risques,1960,"Romance, Drama, Crime",103,Classe tous risques,7.5,4623,"On crowded Milan streets, two men execute a split-second payroll heist-in broad daylight-then begin a lightning-paced getaway, via every conveyance available. But after all, when a tough guy's returning to France (where he's been sentenced to death in absentia) after holing up in Italy for nearly a decade, he's got to have some startup money--particularly if he's going back with the wife and kids.",/uMiuUAlPwiWDKSgu4SoShpzvMR.jpg,"IT, FR","Simone Desmaison, Jean-Paul Belmondo, Evelyne Ker, Lino Ventura, Michel Ardan, Stan Krol, Sandra Milo, Betty Schneider, Michèle Méritz, Marcel Dalio",Claude Sautet,"['José Giovanni', 'Pascal Jardin', 'Claude Sautet']","Dans les rues surpeuplées de Milan, deux hommes font un braquage de salaire en deux secondes, puis commencent une escapade à la vitesse de l'éclair, via chaque moyen de transport disponible. Mais après tout, quand un gars dur revient en France (où il a été condamné à mort par contumace) après s'être envolé en Italie pendant près d'une décennie, il doit avoir de l'argent de démarrage, surtout s'il retourne avec sa femme et ses enfants."
tt0052784,El esqueleto de la señora Morales,1960,"Horror, Comedy, Crime",85,Le squelette de Madame Morales,7.7,2391,A taxidermist decides to murder his wife after having to put up with her after twenty years of hellish marriage.,/bWC7hLO1EOHYeK6zNiLT7jonVg4.jpg,MX,"Arturo de Córdova, Guillermo Orea, Antonio Bravo, Rosenda Monteros, Armando Arriola, Elda Peralta, Amparo Rivelles, Angelines Fernández, Luis Aragón, Mercedes Pascual",Rogelio A. González,"['Arthur Machen', 'Luis Alcoriza']",Un taxidermiste décide de tuer sa femme après avoir dû la supporter après vingt ans de mariage infernal.
tt0052832,The Fugitive Kind,1960,"Romance, Drama",119,L'Homme à la peau de serpent,7.1,7377,"Val Xavier, a drifter of obscure origins, arrives at a small town and gets a job in a store run by Lady Torrence. Her husband, Jabe M. Torrance, is dying of cancer. Val is pursued by Carol Cutere, the enigmatic local tramp-of-good-family.",/ta2ircBtQs8EZXe6QznCI5J6N3i.jpg,US,"Anna Magnani, Maureen Stapleton, Mary Perry, R.G. Armstrong, Joanne Woodward, Ben Yaffee, Victor Jory, Virgilia Chew, Joe Brown Jr., Marlon Brando",Sidney Lumet,"['Tennessee Williams', 'Meade Roberts']","Val Xavier, un vagabond d'origines obscures, arrive dans une petite ville et obtient un emploi dans un magasin dirigé par Lady Torrence. Son mari, Jabe M. Torrance, meurt du cancer. Val est poursuivi par Carol Cutere, l'énigmatique tramp-of-good-family locale."
tt0052961,Kapò,1960,"Drama, War",116,Kapò,7.6,2684,"Determined to survive at any price, Edith, a young Jewish woman deported to an extermination camp, manages to survive by accepting the role of kapo, a privileged prisoner whose mission is to ruthlessly guard other prisoners.",/lAd0NUnvTFkgcwbJmbx0sffn7Bk.jpg,"YU, IT, FR","Bruno Scipioni, Paola Pitagora, Gianni Garko, Graziella Galvani, Annabella Besi, Emmanuelle Riva, Laurent Terzieff, Eleonora Bellinzaghi, Susan Strasberg, Didi Perego",Gillo Pontecorvo,"['Franco Solinas', 'Gillo Pontecorvo']","Résolue à survivre à tout prix, Edith, une jeune juive déportée dans un camp d'extermination, parvient à survivre en acceptant le rôle de kapo, prisonnier privilégié dont la mission est de garder impitoyablement d'autres prisonniers."
tt0052997,The League of Gentlemen,1960,"Drama, Comedy, Crime",116,Hold-up à Londres,7.2,5436,"Involuntarily-retired Colonel Hyde recruits seven other dissatisfied ex-servicemen for a special project. Each of the men has a skeleton in the cupboard, is short of money, and is a service-trained expert in his field. The job is a bank robbery, and military discipline and planning are imposed by Hyde and second-in-command Race on the team, although civilian irritations do start getting in the way.",/6lJvpL5Z3qZxegmJHUpjGsWROtW.jpg,GB,"Terence Alexander, Jack Hawkins, Kieron Moore, Melissa Stribling, Robert Coote, Norman Bird, Bryan Forbes, Roger Livesey, Richard Attenborough, Nigel Patrick",Basil Dearden,"['Bryan Forbes', 'John Boland']","Le colonel Hyde, à sa retraite involontaire, recrute sept autres anciens militaires insatisfaits pour un projet spécial. Chacun d'eux a un squelette dans l'armoire, manque d'argent et est un expert formé au service dans son domaine. Le travail est un vol de banque, et la discipline militaire et la planification sont imposées par Hyde et la deuxième course du commandant de l'équipe, bien que les irritations civiles commencent à gêner le chemin."
tt0053106,Neotpravlennoye pismo,1960,"Adventure, Drama",96,La lettre inachevée,7.8,4418,"Four geologists are searching for diamonds in the wilderness of Siberia. After a long and tiresome journey they manage to find their luck and put the diamond mine on the map. The map must be delivered back to Moscow. But on the day of their departure a terrible forest fire wreaks havoc, and the geologists get trapped in the woods.",/5jtn00Lv0YjVvyQEj29o4UkRs1w.jpg,SU,"Innokentiy Smoktunovskiy, Tatyana Samoylova, Evgeniy Urbanskiy, Vasiliy Livanov, Galina Kozhakina, Boris Kozhukhov",Mikhail Kalatozov,"['Viktor Rozov', 'Valeri Osipov', 'Grigoriy Koltunov']","Quatre géologues sont à la recherche de diamants dans le désert de Sibérie. Après un long et fatigant voyage, ils parviennent à trouver leur chance et mettent la mine de diamants sur la carte. La carte doit être remise à Moscou. Mais le jour de leur départ, un terrible incendie de forêt ravage, et les géologues sont pris au piège dans les bois."
tt0053279,Le signe du lion,1962,Drama,103,Le signe du lion,7.2,2416,"An American in Paris lives by sponging off his working friends, and throws a party using borrowed money when his rich American aunt dies, believing firmly in his horoscope.",/b5jY3jyISYMY0ReGjqtbgaPq7dr.jpg,FR,"Gilbert Edard, Michèle Girardon, Jill Olivier, Stéphane Audran, Paul Crauchet, Sophie Perrault, Van Doude, Christian Alers, Jess Hahn, Paul Bisciglia",Éric Rohmer,"['Paul Gégauff', 'Éric Rohmer']","Un Américain à Paris vit en sillonnant ses amis de travail, et lance une fête utilisant de l'argent emprunté quand sa riche tante américaine meurt, croyant fermement en son horoscope."
tt0053459,Les yeux sans visage,1960,"Horror, Drama",90,Les yeux sans visage,7.6,36577,"Dr. Génessier is riddled with guilt after an accident that he caused disfigures the face of his daughter, the once beautiful Christiane, who outsiders believe is dead. Dr. Génessier, along with accomplice and laboratory assistant Louise, kidnaps young women and brings them to the Génessier mansion. After rendering his victims unconscious, Dr. Génessier removes their faces and attempts to graft them on to Christiane's.",/8y7Z9Gvcq52uOlJlUWyn2epGGRd.jpg,"IT, FR","Juliette Mayniel, Yvette Etiévant, Claude Brasseur, Béatrice Altariba, Alexandre Rignault, Edith Scob, Alida Valli, Michel Etcheverry, Pierre Brasseur, Charles Blavette",Georges Franju,"['Thomas Narcejac', 'Pierre Boileau', 'Claude Sautet', 'Jean Redon']","Le Dr Génessier est criblé de culpabilité après un accident qu'il a causé défigure le visage de sa fille, une fois belle Christiane, qui croit être morte. Le Dr Génessier, avec sa complice et son assistante de laboratoire Louise, kidnappe de jeunes femmes et les amène au manoir Génessier. Après avoir rendu ses victimes inconscientes, le Dr Génessier enlève leur visage et tente de les greffer chez Christiane."
tt0053472,À bout de souffle,1960,"Drama, Crime",90,À bout de souffle,7.7,89897,"A small-time thief steals a car and impulsively murders a motorcycle policeman. Wanted by the authorities, he attempts to persuade a girl to run away to Italy with him.",/9Wx0Wdn2EOqeCZU4SP6tlS3LOml.jpg,FR,"Jean-Paul Belmondo, Jean Domarchi, Daniel Boulanger, Richard Balducci, José Bénazéraf, Gérard Brach, Jean Seberg, Jean-Luc Godard, Philippe de Broca",Jean-Luc Godard,['François Truffaut'],"Un petit voleur vole une voiture et assassine impulsivement un policier de moto. Désiré par les autorités, il tente de persuader une fille de s'enfuir en Italie avec lui."
tt0053579,Akibiyori,1960,"Drama, Comedy",128,Fin d'automne,7.9,6334,"A woman and her daughter are each forced to contend with an increasing pressure to marry, particularly from three men who knew her late husband.",/zdcS3UvySOsQ1tZURtQi9ghueuG.jpg,JP,"Shinichirô Mikami, Kuniko Miyake, Nobuo Nakamura, Mariko Okada, Yôko Tsukasa, Setsuko Hara, Chishû Ryû, Keiji Sada, Shin Saburi, Miyuki Kuwano",Yasujirô Ozu,"['Yasujirô Ozu', 'Ton Satomi', 'Kôgo Noda']","Une femme et sa fille sont toutes deux obligées de faire face à une pression croissante pour se marier, en particulier de la part de trois hommes qui connaissaient son défunt mari."
